"","site","type","lat","lon","N","R2","rMAE","CV_GPP","CV_W","CV_T","CV_TW","Residuals","rT_unique","rW_unique","rTW_shared","rTW_total","MAT","MAP"
"46","CZ-BK1","ENF",49.50208,18.53688,120,0.749052231014246,0.345815330279895,0.674447512971716,0.166087252953721,0.524384927370642,0.565090264673493,0.1246,0.0569,0.0034,0.354694996572995,0.414896047521133,6.69484694387262,1088.94517547129
"47","CZ-BK2","GRA",49.49443,18.54285,70,0.76247259157438,0.353050854388208,0.897211860837998,0.183993452362503,0.486348868194935,0.549939797433004,0.2498,0.1278,0.0055,0.371767528659024,0.505065315915756,6.69484694387262,1088.94517547129
"48","CZ-wet","WET",49.02465,14.77035,100,0.877653416680107,0.372966355840306,1.02011504301001,0.186415237556778,0.506853428436539,0.562997282417719,0.1753,0.0315,0.0449,0.322662786467806,0.398932945313447,8.8361217226755,735.641649874432
"49","DE-Geb","CRO",51.09973,10.91463,134,0.733005882920214,0.40865051314938,1.18210572967186,0.273895977451503,0.434539322088603,0.566907451540047,0.3246,0.0032,0.0299,0.293455729937815,0.326621261474682,9.25249634233546,676.922140282773
"50","DE-Gri","GRA",50.95004,13.51259,128,0.790694852150568,0.296844650419486,0.799028384101108,0.250617742127183,0.485392875779672,0.586286835090299,0.1568,0.0273,-0.0014,0.404293168880455,0.430147058823529,8.3690294280882,925.118482125186
"51","DE-Hai","DBF",51.07921,10.45217,117,0.83603991161073,0.238876490491048,0.881814527634697,0.317173836090373,0.383654561677063,0.560588073378371,0.17,0.0419,0.0083,0.383975903614458,0.43421686746988,8.95319521157512,726.257692289733
"52","DE-Kli","CRO",50.89306,13.52238,126,0.528538384748664,0.496445459020514,1.13566433742256,0.268814971738274,0.480096591052428,0.586394283923061,0.4124,0.1124,0.1432,0.165588835942818,0.421034717494895,8.3690294280882,925.118482125186
"53","DE-Lkb","ENF",49.09962,13.30467,45,0.809040953883376,0.541677911667474,0.777045150950371,0.164321762339453,0.381333973301326,0.371391200898593,0.2567,0.0537,0.1231,0.314274182698776,0.491053410466837,6.24945470850969,1287.95431853571
"54","DE-Lnf","DBF",51.32822,10.3678,83,0.816722566799564,0.263722238927844,0.909149029411246,0.239512385515433,0.433020651306178,0.548688649344637,0.203,0.0302,0.0127,0.417565872020075,0.460476787954831,8.33059838798266,740.890909992042
"55","DE-Obe","ENF",50.78666,13.72129,79,0.860031443878427,0.301477069259194,0.764783724669713,0.178885658028843,0.507145719393965,0.569542672879501,0.0554,0.0453,0.0047,0.401439762862587,0.451513868304044,7.18488736770416,884.409706058485
"56","DE-RuR","GRA",50.62191,6.30413,45,0.78583148522378,0.26217367797441,0.627033673121223,0.202229624302574,0.397331022543876,0.466532055373651,0.168,0.0481,-0.0049,0.349158653846154,0.392307692307692,8.48235206947123,1027.36905789612
"57","DE-RuS","CRO",50.86591,6.44714,48,0.566252044893972,0.592522506004747,1.10635974183877,0.182004376322841,0.386869742766659,0.446730684554566,0.5267,0.0996,0.0148,0.416226494823579,0.530530319036552,10.3997919832184,836.483819795035
"58","DE-Seh","CRO",50.87062,6.44965,46,0.516499597057729,0.539133779427359,1.01468550005616,0.16712307742373,0.419282114291148,0.443561306830171,0.5467,-0.0287,0.1417,0.271564085594529,0.384513567174057,10.3997919832184,836.483819795035
"59","DE-Spw","WET",51.89225,14.03369,59,0.717327152339905,0.316940505264191,0.867899086550462,0.291387711080632,0.456385713410481,0.616984824860988,0.3059,-0.0051,0.0143,0.344763002449215,0.353983575853623,10.2680528174243,678.911478829764
"60","DE-Tha","ENF",50.96256,13.56515,163,0.811821612817474,0.312309244489969,0.714431740590919,0.186112923080006,0.478738331810359,0.540154402572391,0.0683,0.0521,-5e-04,0.371900826446281,0.423526886336804,9.17089261734435,903.178521258019
"61","DK-Eng","GRA",55.69053,12.19175,47,0.585792831657242,0.612430733849845,0.705290023505366,0.244515572880229,0.443747468157422,0.553831148308792,0.3569,-0.0013,0.1124,0.311771108692272,0.422951329497745,8.89898946837474,728.711933406574
"62","DK-Sor","DBF",55.48587,11.64464,159,0.910102997629011,0.218141733595352,0.946920203466316,0.281500388261039,0.439679113833204,0.618845530035882,0.1391,0.0476,0.0014,0.39098617725636,0.440004646300383,8.87560334784729,705.727034322801
"63","ES-Amo","OSH",36.83361,-2.25232,29,0.148607086257931,1.52806630138672,0.552472198884066,0.158678797589455,0.169034519887346,0.286928461129715,0.3723,-0.0153,-0.0134,0.164887685199936,0.13621156603473,18.1849416379005,243.447668366018
"64","ES-LJu","OSH",36.92659,-2.75212,91,0.126565077134896,2.36256028157372,1.10103282406549,0.186618080187539,0.462271499156604,0.544551646054635,0.8274,0.0566,0.0302,-0.0011587485515643,0.085747392815759,13.3803767095974,344.716712348047
"65","FI-Hyy","ENF",61.84741,24.29477,137,0.857766800090561,0.270444531049617,0.847145963482146,0.234569323221502,0.596526217725767,0.672488360418346,0.075,0.145,0.0035,0.325621621621622,0.474054054054054,4.5735508916195,715.833684566004
"66","FI-Jok","CRO",60.8986,23.51345,24,0.884457557144,0.612515373530984,1.08006223321666,0.197338834702146,0.536974546881319,0.631589068463058,0.3255,0.0033,-0.0189,0.468643439584878,0.4529280948851,5.05798097510848,716.524778318786
"67","FI-Let","ENF",60.64183,23.95952,38,0.857409444761446,0.294629535709055,0.792462584054335,0.225546334630552,0.572675085319027,0.649359667230093,0.1651,0.0864,0.003,0.332135585100012,0.421487603305785,5.13455003233577,724.106913320604
"68","FI-Sod","ENF",67.36239,26.63859,108,0.864295494494311,0.297461924062384,0.796550166583901,0.187212636712007,0.557030657213982,0.5930424864267,0.1051,0.0996,0.0023,0.429433456252095,0.531456028606548,0.64775151371299,666.377798728529
"69","FR-Fon","DBF",48.47636,2.7801,115,0.913591870156006,0.273279024263153,0.939956276947554,0.224843678539062,0.334640040165206,0.444603298345885,0.1698,0.0089,0.0152,0.346783907492171,0.370874488075163,11.5760322549318,741.464898250881
"70","FR-Gri","CRO",48.84422,1.95191,128,0.396257736796131,0.613823299261458,1.09116963421259,0.202035968055696,0.388934954974448,0.420641426993826,0.5446,0.0643,0.0835,0.13570487483531,0.28348704435661,11.1035835186583,738.133027665201
"71","FR-LBr","ENF",44.71711,-0.7693,96,0.782650172729511,0.381227765712804,0.544574285776036,0.17183968345625,0.271994413629829,0.277226523517727,0.2178,6e-04,0.0079,0.329583226796216,0.338148811045768,13.8395855356021,837.729007017993
"72","FR-Pue","EBF",43.7413,3.5957,168,0.359654553740837,0.779613736538393,0.493084952543311,0.223109936518214,0.333555700740553,0.387315731137522,0.5727,0.0309,0.0264,0.203604025274982,0.26094079101334,13.5227652268769,1098.61455660302
"73","GF-Guy","EBF",5.27877,-52.92486,103,0.141648433784006,0.250615748254303,0.0993219616380862,0.0728777854082027,0.00590318962780671,0.0687467437377201,0.7547,0.2686,0.0198,0.135752140236445,0.423970648185895,25.7847725728232,2425.07660539188
"74","GH-Ank","EBF",5.26854,-2.69421,15,0.0331659729482848,0.504344916254495,0.4370767375315,0.0359680835039434,0.00548526124857212,0.0319483391587883,0.7887,-0.3214,0.5314,0.981542830099385,1.19167061050639,25.3399730035329,1957.03241503475
"75","IT-BCi","CRO",40.52375,14.95744,120,0.505708649280719,0.459419173160645,0.818309784911632,0.122268698564735,0.245076700492584,0.219950794451999,0.5401,0.0553,0.1485,0.160687105892585,0.364427049358556,16.1143407195334,1269.93480499822
"76","IT-CA1","DBF",42.38041,12.02656,48,0.686746217251144,0.426323603164608,0.691341405056907,0.150602797454742,0.25094701735343,0.234905652903312,0.4056,-0.015,0.0573,0.2907133243607,0.332940780619112,14.4642235486316,954.927841834608
