"","site","type","lat","lon","N","R2","rMAE","CV_GPP","CV_W","CV_T","CV_TW","Residuals","rT_unique","rW_unique","rTW_shared","rTW_total","MAT","MAP"
"99","SN-Dhr","SAV",15.40278,-15.43222,48,0.0751952864280338,0.581103781089778,0.885563037365057,0.310037773287102,0.0188189857428304,0.305845367713336,0.2347,-0.0016,0.405,0.060499150659872,0.464001045341696,28.032603430999,253.054718933883
"100","US-AR1","GRA",36.4267,-99.42,47,0.554155219249648,1.52232727702832,1.11378009914957,0.146819944960507,0.455356018353757,0.503994842594806,0.3758,0.0623,0.2666,0.169016340916373,0.49791733418776,15.3731090632598,659.574872515979
"101","US-AR2","GRA",36.6358,-99.5975,42,0.601816519071419,1.79143967929197,1.26540617875921,0.148403563876596,0.474297595101143,0.510268185126409,0.4908,0.0147,0.1135,0.210526315789474,0.338766692851532,15.3623826115183,631.370279701931
"102","US-ARM","CRO",36.6058,-97.4888,105,0.469274787269279,0.883282503965656,1.05172880949899,0.149026947567404,0.471114675338857,0.476081939266774,0.3445,0.0328,0.0632,0.212814645308925,0.308771929824561,15.8444066457177,881.430035593493
"103","US-Atq","WET",70.4696,-157.4089,34,0.74833438309873,0.403125784391654,0.964545241743425,0.190693646838853,0.728842892636985,0.705433241509155,0.3106,-0.0022,0.0143,0.425732521032782,0.437917029300841,-9.2902476804955,273.842465144776
"104","US-Blo","ENF",38.8953,-120.6328,84,0.826631896115135,0.546093013368346,0.497473526187091,0.127614055292155,0.3771653525743,0.364107631894919,0.1253,-0.0018,0.0146,0.40253801303304,0.415342403109638,11.5982466589679,1313.9336258296
"105","US-GBT","ENF",41.36579,-106.2397,33,0.306232896576618,0.817282181600492,0.778488693697166,0.194942283581511,0.891016007654278,0.898564871610714,0.7611,-0.0912,-0.0874,0.484303055671829,0.305567182921725,0.415333105489935,751.503619315607
"106","US-GLE","ENF",41.36653,-106.2399,86,0.807765628169079,0.360150678288711,0.873474514599706,0.18754607849781,0.723015029756996,0.734288943140717,0.1277,0.0163,0.0063,0.423478161183079,0.446176774045627,0.415333105489935,751.503619315607
"107","US-Goo","GRA",34.2547,-89.8735,60,0.659820305990707,0.728151789426935,0.756061021095599,0.108912792685013,0.345366841302869,0.399658835646223,0.3112,-7e-04,0.0666,0.40650406504065,0.472415795586527,17.3292354107066,1381.52124336598
"108","US-IB2","GRA",41.84062,-88.24103,87,0.814943965776858,0.408989826520273,1.10970165848959,0.187789928439553,0.608727201024073,0.698033666151647,0.2322,0.0016,0.0675,0.381349309716072,0.4503777025267,10.0397758989174,1011.34020141004
"109","US-Ivo","WET",68.4865,-155.7503,25,0.867562591589712,0.560580453245251,0.944384786840672,0.160806107041494,0.7779945539114,0.75847182285671,0.1866,0.037,0.004,0.478485370051635,0.519424637324809,-9.45181644310179,460.70161810754
"110","US-KS2","CSH",28.6086,-80.6715,48,0.589469547922496,2.09354753274221,0.273290024310037,0.0925511458559205,0.0795931710302347,0.145010242965268,0.3555,0.0161,0.0735,0.339022498060512,0.428549262994569,22.7908093559511,1024.23070769745
"111","US-Los","WET",46.0827,-89.9792,87,0.744042004230073,0.847571027959767,0.89031065396724,0.200151435184443,0.568652689111471,0.670209105589642,0.3164,0.0049,0.0538,0.354008191925102,0.412668227033353,5.0858345095312,884.823639454825
"112","US-Me2","ENF",44.4523,-121.5574,150,0.690274445185854,0.400044255954383,0.585639459840871,0.190169252751755,0.55525154907271,0.542418393990521,0.1545,-5e-04,-9e-04,0.38829095209935,0.386871673565937,7.77574318657054,892.734860889497
"113","US-Me3","ENF",44.3154,-121.6078,72,0.504128146383189,0.742592845621695,0.626377620166377,0.234717324911132,0.570627996177515,0.597036870395639,0.3113,0.0112,0.0025,0.318571221141281,0.332220124872949,7.70833213392478,902.918808671219
"114","US-Me6","ENF",44.3232842,-121.6078,60,0.450912885606018,0.787545742032075,0.636603818292707,0.189128737812007,0.571583254713101,0.559674607006483,0.3678,-0.0103,0.0019,0.392122745966466,0.383739322999051,7.70833213392478,902.918808671219
"115","US-Myb","WET",38.049861,-121.76498,44,0.519105498597381,1.11281296878511,0.906721591060966,0.106463612261319,0.169195808064692,0.239261974747961,0.5296,0.0045,-0.0274,0.451318027210884,0.428358843537415,15.3254094057585,475.507680587354
"116","US-NR1","ENF",40.0329,-105.5464,148,0.881929381825134,0.575913975854807,0.902402044851599,0.116686253578808,0.718780937749103,0.749094458334193,0.048,0.0915,0.0051,0.443382352941177,0.540021008403361,1.46212628268319,792.151021224641
"117","US-Oho","DBF",41.5545,-83.8438,115,0.946894873672744,0.332206487913722,1.03680389977255,0.253695111798521,0.588364210297723,0.708514818498452,0.1233,0.0224,0.079,0.359530055891411,0.461047108474963,10.2967761667113,956.625003131611
"118","US-Prr","ENF",65.12367,-147.48756,40,0.320922910612626,1.23019908409755,0.929651361591535,0.177797886069526,0.696579147663498,0.726213183689797,0.6202,-0.0265,0.0464,0.466824644549763,0.486835176408636,-2.56829393566477,499.521456919494
"119","US-SRC","OSH",31.9083,-110.8395,73,0.570291292020809,2.26972459837139,0.922600660959021,0.207233118168081,0.250189164092632,0.232467818932624,0.3328,0.0201,-0.0031,0.0842326139088729,0.101318944844125,18.3241305495806,328.360077999416
"120","US-SRG","GRA",31.789379,-110.827675,80,0.887056619303015,1.4489691759564,1.21510495338927,0.173841868290419,0.20245164046308,0.214238773437549,0.1191,-0.0015,0.0525,0.300828697922579,0.351912816437734,16.5817972052739,344.887206964079
"121","US-SRM","WSA",31.8214,-110.8661,115,0.784671246428526,1.7303185298509,1.12012660743638,0.235085065906155,0.169483631506834,0.183630609147096,0.191,-0.0013,0.0064,0.17725587144623,0.182323856613103,18.1858382915939,327.103877824925
"122","US-Sta","OSH",41.3966,-106.8024,60,0.36553098207312,0.776582858159943,1.01372740729082,0.228424172432393,0.835451496509607,0.819249564700408,0.6554,0.0237,0.0214,0.152930934416715,0.198200812536274,4.26629149357638,515.329395743592
"123","US-Syv","MF",46.242,-89.3477,105,0.80085462938972,0.528672970066186,0.964890848736334,0.190853453705972,0.724444829044627,0.774679313211219,0.2556,0.0373,0.0197,0.384873723804406,0.441832348199893,4.84062560641644,875.112272066258
"124","US-Ton","WSA",38.4316,-120.96598,165,0.664200057934659,0.748232892250486,0.723041040266884,0.208252406686328,0.225816751663069,0.217515359009827,0.2223,0.0215,0.1179,0.102867429600103,0.242252796708242,16.2156221223025,774.531404438002
"125","US-Twt","CRO",38.1087204,-121.6531,58,0.748267333468831,0.818179367460708,1.12206363381651,0.100188072324475,0.257159549724437,0.319061911192401,0.2715,-0.0039,0.215,0.430885380919698,0.641866849691146,15.8384269543491,489.888733141008
"126","US-UMd","DBF",45.5625,-84.6975,74,0.81353397243169,0.462833192845542,0.80915399754354,0.202242447706951,0.489460745749516,0.564325940803875,0.1916,0.0401,0.0552,0.259030183077684,0.354280059376546,6.70729532007152,890.585770718637
"127","US-Var","GRA",38.4133,-120.9507,106,0.36416272036674,0.658530129721,0.887612083420569,0.119483426144718,0.265176562512121,0.264426786185784,0.193,-0.0023,-8e-04,0.261462205700124,0.258364312267658,16.2156221223025,774.531404438002
"128","US-WCr","DBF",45.8059,-90.0799,81,0.835817240782997,0.556691314100476,0.959335211038662,0.260587837605065,0.429459798619324,0.560309288364876,0.2692,0.0024,0.0766,0.419403393541325,0.498357963875205,5.33747200465001,873.670637371523
"129","US-Whs","OSH",31.7438,-110.0522,58,0.798341905253264,2.12912139208573,1.22923011159447,0.156102109355448,0.309947250123283,0.306447215939618,0.2152,0.013,-0.0036,0.207313965341488,0.216615698267074,16.3815329433168,227.404482178274
"130","US-Wi4","ENF",46.739333,-91.16625,48,0.831488543775318,0.544833097109776,0.493666488229583,0.149024175664686,0.831351437904081,0.859114667582488,0.1774,0.0028,0.0706,0.293824459032336,0.367250182348651,5.32719147334029,867.825997136417
"131","US-Wkg","GRA",31.7365,-109.9419,110,0.770158963180116,2.0334384956631,1.26200611871739,0.129902555078565,0.247752950469458,0.236516465670003,0.2674,0.0056,0.0025,0.203385203385203,0.211438711438711,16.3772644750727,230.293362351639
"132","ZA-Kru","SAV",-25.0197,31.4969,138,0.482171792358885,0.627869891785638,0.853690541055724,0.102086883132295,0.0648504209834475,0.129570110801929,0.5122,0.0053,0.1671,0.375973759737597,0.548380483804838,22.0714243005517,572.041165592653
"133","ZM-Mon","DBF",-15.4391,23.2525,35,0.169194559528853,0.940034513272667,0.872028375779236,0.199263422810235,0.0320547087301936,0.211368623445604,0.7701,0.1287,0.7234,0.33144845585037,1.18355806872553,22.9861116435904,1078.70129968959
